,id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,clean_ingredients,ingredient_count,timeMins
0,Southern-Cornbread-Dressing-1357820,southern cornbread dressing,4.0,3600.0,,[Southern & Soul Food],"[buttermilk cornbread, sandwich bread, salt, black pepper, rubbed sage, eggs, onions, celery, butter, cream of chicken soup, chicken stock]","['buttermilk cornbread', 'sandwich bread', 'salt', 'black pepper', 'sage', 'egg', 'onion', 'celery', 'butter', 'cream chicken soup', 'chicken stock']",11,60.0
1,Peanut-butter-fudge-297693,peanut butter fudge,4.0,8100.0,[Desserts],[American],"[country crock® spread, light corn syrup, creamy peanut butter, confectioners sugar, vanilla extract]","['country crock spread', 'light corn syrup', 'creamy peanut butter', 'confectioner sugar', 'vanilla extract']",5,135.0
2,Buckeyes-298471,buckeyes,4.0,6600.0,[Desserts],[American],"[skippy® super chunk® peanut butter, country crock® spread, confectioners sugar, semi-sweet chocolate morsels]","['skippy super chunk peanut butter', 'country crock spread', 'confectioner sugar', 'semi sweet chocolate morsel']",4,110.0
3,Disappearing-buffalo-chicken-dip-297712,disappearing buffalo chicken dip,4.0,2100.0,[Appetizers],[American],"[light mayonnaise, lemon juice, cayenne pepper sauce, blue cheese, chives, shredded cheddar cheese, cooked chicken]","['light mayonnaise', 'lemon juice', 'cayenne pepper sauce', 'blue cheese', 'chive', 'dar cheese', 'chicken']",7,35.0
4,Classic-macaroni-salad-304692,classic macaroni salad,4.0,1500.0,"[Salads, Side Dishes]",[American],"[elbow macaroni, hellmann' or best food real mayonnais, red vinegar white white, wine,, hellmann's dijonnaise creamy dijon mustard, sugar, salt, ground black pepper, celery, green bell pepper, slice, onions]","['elbow macaroni', 'hellmann best food real mayonnai', 'vinegar white white', 'wine', '', 'hellmann s dijonnaise creamy dijon mustard', 'sugar', 'salt', 'black pepper', 'celery', 'bell pepper', 'slouse', 'onion']",13,25.0
5,Classic-coleslaw-303481,classic coleslaw,4.0,600.0,"[Salads, Side Dishes]","[American, Southern & Soul Food]","[hellmann' or best food real mayonnais, lemon juice, sugar, salt, cabbage, carrots, green bell pepper]","['hellmann best food real mayonnai', 'lemon juice', 'sugar', 'salt', 'cabbage', 'carrot', 'bell pepper']",7,10.0
6,Bechamel-Sauce-513101,béchamel sauce,5.0,1200.0,[Condiments and Sauces],"[American, French]","[2% reduced-fat milk, unsalted butter, all purpose unbleached flour, fine sea salt, ground black pepper, grated nutmeg]","['fat milk', 'butter', 'flmy', 'fine sea salt', 'black pepper', 'nutmeg']",6,20.0
7,Peanut-butter-cream-pie-298882,peanut butter cream pie,4.0,11700.0,[Desserts],[American],"[skippy creamy peanut butter, sugar, cream cheese, frozen whipped topping, hot fudge topping, 9 inch chocolate crumb crust]","['skippy creamy peanut butter', 'sugar', 'cream cheese', 'topping', 'hot fudge topping', 'inch chocolate crumb crust']",6,195.0
8,Southern-Pecan-Pie-1332202,southern pecan pie,4.0,4800.0,[Desserts],"[Southern & Soul Food, American]","[pie crust, eggs, light corn syrup, butter, light brown sugar, vanilla extract, chopped pecans]","['pie crust', 'egg', 'light corn syrup', 'butter', 'light brown sugar', 'vanilla extract', 'pecan']",7,80.0
9,Peanut-Butter-Fudge-482257,peanut butter fudge,4.0,600.0,[Desserts],[American],"[unsalted butter, creamy peanut butter, salt, vanilla extract, powdered sugar]","['butter', 'creamy peanut butter', 'salt', 'vanilla extract', 'sugar']",5,10.0
10,Buffalo-Turkey-Burgers-with-Buffalo-Blue-Cheese-Sauce-1367454,buffalo turkey burgers with buffalo blue cheese sauce,4.0,1380.0,[Main Dishes],[American],"[lean ground turkey, hot sauce, ranch-style seasoning, garlic, eggs, panko breadcrumbs, nonfat greek yogurt, light mayonnaise, crumbled blue cheese, buns, tomatoes, purple onion, lettuce, blue cheese, buffalo sauce]","['lean turkey', 'hot sauce', 'ranch style seasoning', 'garlic', 'egg', 'panko breadcrumb', 'nonfat greek yogurt', 'light mayonnaise', 'blue cheese', 'bun', 'tomato', 'purple onion', 'lettuce', 'blue cheese', 'buffalo sauce']",15,23.0
11,Best-Homemade-Brownie-514487,best homemade brownie,5.0,5100.0,[Desserts],[American],"[butter, chocolate, sugar, vanilla extract, eggs, sea salt, white flour]","['butter', 'chocolate', 'sugar', 'vanilla extract', 'egg', 'sea salt', 'white flmy']",7,85.0
12,Creamed-spinach-305542,creamed spinach,5.0,2700.0,[Side Dishes],[American],"[baby spinach, heavy cream, onions, garlic, unsalted butter, all-purpose flour, grated nutmeg]","['baby spinach', 'heavy cream', 'onion', 'garlic', 'butter', 'all purpose flmy', 'nutmeg']",7,45.0
13,Eggs-in-hash-brown-nests-352693,eggs in hash brown nests,5.0,,[Breakfast and Brunch],[American],"[russet potatoes, salt, pepper, large eggs, cooking spray]","['russet potato', 'salt', 'pepper', 'egg', 'cooking spray']",5,
14,Enchilada-Sauce-472402,enchilada sauce,5.0,2100.0,[Condiments and Sauces],"[American, Mexican]","[vegetable oil, all-purpose flour, chili powder, tomato sauce, low sodium chicken broth, ground cumin, garlic powder, onion salt, salt]","['vegetable oil', 'all purpose flmy', 'chili powder', 'tomato sauce', 'low sodium chicken broth', 'cumin', 'garlic powder', 'onion salt', 'salt']",9,35.0
15,Home-Fries-Real-Simple-199083,home fries,4.0,1800.0,"[Lunch and Snacks, Side Dishes, Breakfast and Brunch]",[American],"[canola oil, yellow onion, red potato, kosher salt, ground black pepper]","['canola oil', 'yellow onion', 'potato', 'kosher salt', 'black pepper']",5,30.0
16,Blueberry-Simple-Syrup-Closet-Cooking-54900,blueberry syrup,5.0,1800.0,"[Beverages, Breakfast and Brunch, Condiments and Sauces]",[American],"[blueberries, water, sugar, lemon juice]","['blueberry', 'water', 'sugar', 'lemon juice']",4,30.0
17,Some-People-Need-Wine-474670,some people need wine,4.0,1800.0,[Desserts],[American],"[powdered sugar, cocoa powder, salt, egg whites, vanilla]","['sugar', 'cocoa powder', 'salt', 'egg white', 'vanilla']",5,30.0
