,id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,clean_ingredients,ingredient_count,timeMins,imageURL
0,Southern-Cornbread-Dressing-1357820,southern cornbread dressing,4.0,3600.0,,[Southern & Soul Food],"[buttermilk cornbread, sandwich bread, salt, black pepper, rubbed sage, eggs, onions, celery, butter, cream of chicken soup, chicken stock]","['buttermilk cornbread', 'sandwich bread', 'salt', 'black pepper', 'sage', 'egg', 'onion', 'celery', 'butter', 'cream chicken soup', 'chicken stock']",11,60.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.dcqAxhN1JOdokPOUmXjAfwHaKG%26pid%3DApi&f=1&ipt=e467fa28c659e494a8bd1aa7969be25efe1855a3ac98a5c2282a7d400c2f4209&ipo=images
1,Peanut-butter-fudge-297693,peanut butter fudge,4.0,8100.0,[Desserts],[American],"[country crock® spread, light corn syrup, creamy peanut butter, confectioners sugar, vanilla extract]","['country crock spread', 'light corn syrup', 'creamy peanut butter', 'confectioner sugar', 'vanilla extract']",5,135.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.explicit.bing.net%2Fth%3Fid%3DOIP.qmAnNAptPWHFc0h4W8yaZAHaLH%26pid%3DApi&f=1&ipt=8230aaa2f050da2f33d4875903ca901975259ef2de076d6fbb13fe0ae87fd296&ipo=images
2,Buckeyes-298471,buckeyes,4.0,6600.0,[Desserts],[American],"[skippy® super chunk® peanut butter, country crock® spread, confectioners sugar, semi-sweet chocolate morsels]","['skippy super chunk peanut butter', 'country crock spread', 'confectioner sugar', 'semi sweet chocolate morsel']",4,110.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.qXW-xmDMBUC2FAqyi4wOFQHaG-%26pid%3DApi&f=1&ipt=819073ed02aaaa9e3fdee9c6dafdc0110b483ed784f97457be2b5203961ee440&ipo=images
3,Disappearing-buffalo-chicken-dip-297712,disappearing buffalo chicken dip,4.0,2100.0,[Appetizers],[American],"[light mayonnaise, lemon juice, cayenne pepper sauce, blue cheese, chives, shredded cheddar cheese, cooked chicken]","['light mayonnaise', 'lemon juice', 'cayenne pepper sauce', 'blue cheese', 'chive', 'dar cheese', 'chicken']",7,35.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.fmxAmf6R7SHKMb9sEUMyMAHaFj%26pid%3DApi&f=1&ipt=19419991d6030d2c2a351ae78bf50d98474e1162fa77176827c7fa4bce02cbff&ipo=images
4,Classic-macaroni-salad-304692,classic macaroni salad,4.0,1500.0,"[Salads, Side Dishes]",[American],"[elbow macaroni, hellmann' or best food real mayonnais, red vinegar white white, wine,, hellmann's dijonnaise creamy dijon mustard, sugar, salt, ground black pepper, celery, green bell pepper, slice, onions]","['elbow macaroni', 'hellmann best food real mayonnai', 'vinegar white white', 'wine', '', 'hellmann s dijonnaise creamy dijon mustard', 'sugar', 'salt', 'black pepper', 'celery', 'bell pepper', 'slouse', 'onion']",13,25.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.jorYCRG1JGlidIwctQvkZQHaLH%26pid%3DApi&f=1&ipt=df94d80f8aad52e59a57a4e9cae7fcbfc8280513f13bc22337a9623b7b17bd3c&ipo=images
5,Classic-coleslaw-303481,classic coleslaw,4.0,600.0,"[Salads, Side Dishes]","[American, Southern & Soul Food]","[hellmann' or best food real mayonnais, lemon juice, sugar, salt, cabbage, carrots, green bell pepper]","['hellmann best food real mayonnai', 'lemon juice', 'sugar', 'salt', 'cabbage', 'carrot', 'bell pepper']",7,10.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.skeJy_YlRHhYFfyh8ilaNQHaLG%26pid%3DApi&f=1&ipt=17e0f09b67f89cfd7f5190dbe0e723ded40b03c406e56927a4d93abbb1432e3e&ipo=images
6,Bechamel-Sauce-513101,béchamel sauce,5.0,1200.0,[Condiments and Sauces],"[American, French]","[2% reduced-fat milk, unsalted butter, all purpose unbleached flour, fine sea salt, ground black pepper, grated nutmeg]","['fat milk', 'butter', 'flmy', 'fine sea salt', 'black pepper', 'nutmeg']",6,20.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.8Mguvq-zRXmblSg2Hy4duAHaE7%26pid%3DApi&f=1&ipt=56760c9a4aacc8b223d69e0d129e3a7382732d030253d65f8970fe823468635c&ipo=images
7,Peanut-butter-cream-pie-298882,peanut butter cream pie,4.0,11700.0,[Desserts],[American],"[skippy creamy peanut butter, sugar, cream cheese, frozen whipped topping, hot fudge topping, 9 inch chocolate crumb crust]","['skippy creamy peanut butter', 'sugar', 'cream cheese', 'topping', 'hot fudge topping', 'inch chocolate crumb crust']",6,195.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.l3_o2bSKe5geKktFdXYGogHaHa%26pid%3DApi&f=1&ipt=5b70a23255c9caf9b0e96fb5d7472c5d15c514ba9eac491654f990c509d98dfe&ipo=images
8,Southern-Pecan-Pie-1332202,southern pecan pie,4.0,4800.0,[Desserts],"[Southern & Soul Food, American]","[pie crust, eggs, light corn syrup, butter, light brown sugar, vanilla extract, chopped pecans]","['pie crust', 'egg', 'light corn syrup', 'butter', 'light brown sugar', 'vanilla extract', 'pecan']",7,80.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.V_D28wdvAXCukEwRrwEpVQHaHa%26pid%3DApi&f=1&ipt=e8b4673829f66662eb04e8b1415b4377146c6ae807788f5a866850f80c6a583a&ipo=images
9,Peanut-Butter-Fudge-482257,peanut butter fudge,4.0,600.0,[Desserts],[American],"[unsalted butter, creamy peanut butter, salt, vanilla extract, powdered sugar]","['butter', 'creamy peanut butter', 'salt', 'vanilla extract', 'sugar']",5,10.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.explicit.bing.net%2Fth%3Fid%3DOIP.qmAnNAptPWHFc0h4W8yaZAHaLH%26pid%3DApi&f=1&ipt=8230aaa2f050da2f33d4875903ca901975259ef2de076d6fbb13fe0ae87fd296&ipo=images
